"","sample_duration","fourth_max_value","fourth_max_datetime","local_site_name","latitude","longitude"
"4","8-HR RUN AVG BEGIN HOUR",0.052,"2020-03-01 11:00","TUPELO AIRPORT NEAR OLD NWS OFFICE",34.264917,-88.766222
"8","8-HR RUN AVG BEGIN HOUR",0.059,"2020-05-02 09:00","Cleveland Delta State",33.750838,-90.734175
"12","8-HR RUN AVG BEGIN HOUR",0.059,"2020-06-20 09:00","Gulfport Youth Court",30.390369,-89.049778
"16","8-HR RUN AVG BEGIN HOUR",0.062,"2020-08-06 12:00","Hernando",34.82166,-89.98783
"20","8-HR RUN AVG BEGIN HOUR",0.053,"2020-03-01 10:00","Hinds CC",32.346722,-90.225667
"24","8-HR RUN AVG BEGIN HOUR",0.053,"2020-05-02 10:00","Jackson NCORE",32.329111,-90.182722
"28","8-HR RUN AVG BEGIN HOUR",0.051,"2020-04-05 10:00","Meridian",32.364565,-88.731491
"32","8-HR RUN AVG BEGIN HOUR",0.059,"2020-05-01 11:00","Pascagoula",30.378287,-88.53393
"36","8-HR RUN AVG BEGIN HOUR",0.059,"2020-06-20 10:00","Waveland",30.300833,-89.395916
"40","8-HR RUN AVG BEGIN HOUR",0.054,"2020-03-26 10:00","Coffeeville",34.002747,-89.799183
