"","sample_duration","arithmetic_mean","ninety_eighth_percentile","local_site_name","latitude","longitude"
"5","24-HR BLK AVG",8.264067,17.1,"Cleveland Delta State",33.750838,-90.734175
"12","24-HR BLK AVG",8.684874,17,"Gulfport Youth Court",30.390369,-89.049778
"19","24-HR BLK AVG",9.769697,20.6,"Hattiesburg",31.32389,-89.2922
"25","24 HOUR",8.19,13.7,"Hattiesburg",31.32389,-89.2922
"32","24-HR BLK AVG",8.685794,19.9,"Hernando",34.82056,-89.98778
"39","24-HR BLK AVG",10.50221,20.5,"Jackson NCORE",32.329111,-90.182722
"45","24 HOUR",8.185593,15.2,"Jackson NCORE",32.329111,-90.182722
"52","24-HR BLK AVG",9.611173,19.4,"Hinds CC",32.346722,-90.225667
"59","24-HR BLK AVG",7.982123,15.8,"Pascagoula",30.378287,-88.53393
"66","24-HR BLK AVG",8.898886,21.3,"Waveland",30.300833,-89.395916
